response_id,time,regularly_play,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,hours_1,hours_2,hours_3,hours_4,hours_5,hours_6,hours_7,hours_8,hours_9,total_hours,total_percent,single_multi_1,single_multi_2,single_multi_3,single_multi_4,single_multi_5,single_multi_6,single_multi_7,single_multi_8,single_multi_9
R_2fvruv9ZivyF7o5,before,yes,0,5,15,25,0,55,0,0,0,0,1.5,4.5,7.5,0,16.5,0,0,0,30,100,multiplayer,alone,multiplayer,multiplayer,NA,multiplayer,NA,NA,NA
R_2fvruv9ZivyF7o5,after,yes,0,1,15,15,0,60,0,9,0,0,0.4,6,6,0,24,0,3.6,0,40,100,NA,alone,multiplayer,multiplayer,NA,multiplayer,NA,alone,NA
R_1Fl9AQQ2mrxHqGW,before,yes,0,20,0,0,0,70,0,10,0,0,3,0,0,0,10.5,0,1.5,0,15,100,NA,alone,NA,NA,NA,alone,NA,alone,NA
R_1Fl9AQQ2mrxHqGW,after,yes,0,0,0,0,0,80,0,20,0,0,0,0,0,0,28,0,7,0,35,100,NA,NA,NA,NA,NA,alone,NA,alone,NA
R_2wmnaQBPNB7V2gM,before,yes,5,15,0,0,0,70,0,0,10,0.75,2.25,0,0,0,10.5,0,0,1.5,15,100,alone,alone,NA,NA,NA,alone,NA,NA,alone
R_2wmnaQBPNB7V2gM,after,yes,5,15,0,0,0,70,0,0,10,0.75,2.25,0,0,0,10.5,0,0,1.5,15,100,alone,alone,NA,NA,NA,alone,NA,NA,alone
R_2w0lomFwVXQMEH5,before,yes,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,NA,NA,multiplayer,NA,NA,NA,NA,NA,NA
R_2w0lomFwVXQMEH5,after,yes,0,0,100,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,100,NA,NA,multiplayer,NA,NA,NA,NA,NA,NA
R_piX57LSmaReTby1,before,yes,0,25,50,0,0,25,0,0,0,0,2,4,0,0,2,0,0,0,8,100,NA,alone,alone,NA,NA,alone,NA,NA,NA
R_piX57LSmaReTby1,after,yes,10,0,40,0,0,50,0,0,0,1,0,4,0,0,5,0,0,0,10,100,NA,alone,alone,NA,NA,alone,NA,NA,NA
R_Xjm191b0NxVNvbz,before,yes,0,0,50,0,0,50,0,0,0,0,0,5,0,0,5,0,0,0,10,100,NA,NA,alone,NA,NA,alone,NA,NA,NA
R_Xjm191b0NxVNvbz,after,yes,0,0,0,0,0,100,0,0,0,0,0,0,0,0,31,0,0,0,31,100,NA,NA,NA,NA,NA,alone,NA,NA,NA
R_30uRCB7vSqjK8Tf,before,yes,0,10,90,0,0,0,0,0,0,0,1.5,13.5,0,0,0,0,0,0,15,100,NA,alone,multiplayer,NA,NA,NA,NA,NA,NA
R_30uRCB7vSqjK8Tf,after,yes,0,5,80,15,0,0,0,0,0,0,1.05,16.8,3.15,0,0,0,0,0,21,100,NA,alone,multiplayer,multiplayer,NA,NA,NA,NA,NA
R_273DuWgjgujvJYE,before,yes,0,6,8,0,0,0,0,0,0,0,0.8400000000000001,1.12,0,0,0,0,0,0,1.9600000000000002,14,NA,multiplayer,alone,NA,NA,NA,NA,NA,NA
R_273DuWgjgujvJYE,after,yes,0,7,7,0,0,14,0,0,0,0,1.68,1.68,0,0,3.36,0,0,0,6.72,28,NA,multiplayer,alone,NA,NA,multiplayer,NA,NA,NA
R_2VkJBjNuuyAttyZ,before,yes,0,10,0,50,0,40,0,0,0,0,2.2,0,11,0,8.8,0,0,0,22,100,NA,alone,alone,alone,NA,alone,NA,NA,NA
R_2VkJBjNuuyAttyZ,after,yes,0,10,0,80,0,10,0,0,0,0,2.5,0,20,0,2.5,0,0,0,25,100,NA,alone,NA,alone,NA,alone,NA,NA,NA
R_3pcoKZhAb81bmCu,before,yes,0,5,0,60,0,0,0,35,0,0,7.5,0,90,0,0,0,52.5,0,150,100,NA,alone,NA,multiplayer,NA,NA,NA,alone,NA
