response_id,lockdown_period,subscale,item,score
R_3mltujcfVRDBFwo,before,amotivation,17,NA
R_3mltujcfVRDBFwo,before,amotivation,18,NA
R_3mltujcfVRDBFwo,during,instrinsic_motivation,1,NA
R_3mltujcfVRDBFwo,during,instrinsic_motivation,2,NA
R_3mltujcfVRDBFwo,during,instrinsic_motivation,3,NA
R_3mltujcfVRDBFwo,during,integrated_regulation,4,NA
R_3mltujcfVRDBFwo,during,integrated_regulation,5,NA
R_3mltujcfVRDBFwo,during,integrated_regulation,6,NA
R_3mltujcfVRDBFwo,during,identified_regulation,7,NA
R_3mltujcfVRDBFwo,during,identified_regulation,8,NA
R_3mltujcfVRDBFwo,during,identified_regulation,9,NA
R_3mltujcfVRDBFwo,during,introjected_regulation,10,NA
R_3mltujcfVRDBFwo,during,introjected_regulation,11,NA
R_3mltujcfVRDBFwo,during,introjected_regulation,12,NA
R_3mltujcfVRDBFwo,during,external_regulation,13,NA
R_3mltujcfVRDBFwo,during,external_regulation,14,NA
R_3mltujcfVRDBFwo,during,external_regulation,15,NA
R_3mltujcfVRDBFwo,during,amotivation,16,NA
R_3mltujcfVRDBFwo,during,amotivation,17,NA
R_3mltujcfVRDBFwo,during,amotivation,18,NA
R_21b9j1WapXLQCLl,before,instrinsic_motivation,1,NA
R_21b9j1WapXLQCLl,before,instrinsic_motivation,2,NA
R_21b9j1WapXLQCLl,before,instrinsic_motivation,3,NA
R_21b9j1WapXLQCLl,before,integrated_regulation,4,NA
R_21b9j1WapXLQCLl,before,integrated_regulation,5,NA
R_21b9j1WapXLQCLl,before,integrated_regulation,6,NA
R_21b9j1WapXLQCLl,before,identified_regulation,7,NA
R_21b9j1WapXLQCLl,before,identified_regulation,8,NA
R_21b9j1WapXLQCLl,before,identified_regulation,9,NA
R_21b9j1WapXLQCLl,before,introjected_regulation,10,NA
R_21b9j1WapXLQCLl,before,introjected_regulation,11,NA
R_21b9j1WapXLQCLl,before,introjected_regulation,12,NA
R_21b9j1WapXLQCLl,before,external_regulation,13,NA
R_21b9j1WapXLQCLl,before,external_regulation,14,NA
R_21b9j1WapXLQCLl,before,external_regulation,15,NA
R_21b9j1WapXLQCLl,before,amotivation,16,NA
R_21b9j1WapXLQCLl,before,amotivation,17,NA
R_21b9j1WapXLQCLl,before,amotivation,18,NA
R_21b9j1WapXLQCLl,during,instrinsic_motivation,1,5
R_21b9j1WapXLQCLl,during,instrinsic_motivation,2,3
R_21b9j1WapXLQCLl,during,instrinsic_motivation,3,4
R_21b9j1WapXLQCLl,during,integrated_regulation,4,2
R_21b9j1WapXLQCLl,during,integrated_regulation,5,2
R_21b9j1WapXLQCLl,during,integrated_regulation,6,2
R_21b9j1WapXLQCLl,during,identified_regulation,7,2
R_21b9j1WapXLQCLl,during,identified_regulation,8,1
R_21b9j1WapXLQCLl,during,identified_regulation,9,3
R_21b9j1WapXLQCLl,during,introjected_regulation,10,1
R_21b9j1WapXLQCLl,during,introjected_regulation,11,1
R_21b9j1WapXLQCLl,during,introjected_regulation,12,1
R_21b9j1WapXLQCLl,during,external_regulation,13,4
R_21b9j1WapXLQCLl,during,external_regulation,14,3
R_21b9j1WapXLQCLl,during,external_regulation,15,6
R_21b9j1WapXLQCLl,during,amotivation,16,2
R_21b9j1WapXLQCLl,during,amotivation,17,1
R_21b9j1WapXLQCLl,during,amotivation,18,1
R_CZwSxUPuv8a4BYl,before,instrinsic_motivation,1,1
R_CZwSxUPuv8a4BYl,before,instrinsic_motivation,2,1
R_CZwSxUPuv8a4BYl,before,instrinsic_motivation,3,1
R_CZwSxUPuv8a4BYl,before,integrated_regulation,4,1
R_CZwSxUPuv8a4BYl,before,integrated_regulation,5,1
R_CZwSxUPuv8a4BYl,before,integrated_regulation,6,1
R_CZwSxUPuv8a4BYl,before,identified_regulation,7,1
R_CZwSxUPuv8a4BYl,before,identified_regulation,8,1
R_CZwSxUPuv8a4BYl,before,identified_regulation,9,1
R_CZwSxUPuv8a4BYl,before,introjected_regulation,10,1
R_CZwSxUPuv8a4BYl,before,introjected_regulation,11,1
R_CZwSxUPuv8a4BYl,before,introjected_regulation,12,1
R_CZwSxUPuv8a4BYl,before,external_regulation,13,1
R_CZwSxUPuv8a4BYl,before,external_regulation,14,1
R_CZwSxUPuv8a4BYl,before,external_regulation,15,1
R_CZwSxUPuv8a4BYl,before,amotivation,16,1
R_CZwSxUPuv8a4BYl,before,amotivation,17,1
R_CZwSxUPuv8a4BYl,before,amotivation,18,1
R_CZwSxUPuv8a4BYl,during,instrinsic_motivation,1,3
R_CZwSxUPuv8a4BYl,during,instrinsic_motivation,2,1
R_CZwSxUPuv8a4BYl,during,instrinsic_motivation,3,1
R_CZwSxUPuv8a4BYl,during,integrated_regulation,4,1
R_CZwSxUPuv8a4BYl,during,integrated_regulation,5,1
R_CZwSxUPuv8a4BYl,during,integrated_regulation,6,1
R_CZwSxUPuv8a4BYl,during,identified_regulation,7,1
R_CZwSxUPuv8a4BYl,during,identified_regulation,8,1
R_CZwSxUPuv8a4BYl,during,identified_regulation,9,1
R_CZwSxUPuv8a4BYl,during,introjected_regulation,10,1
R_CZwSxUPuv8a4BYl,during,introjected_regulation,11,1
R_CZwSxUPuv8a4BYl,during,introjected_regulation,12,1
R_CZwSxUPuv8a4BYl,during,external_regulation,13,1
R_CZwSxUPuv8a4BYl,during,external_regulation,14,1
R_CZwSxUPuv8a4BYl,during,external_regulation,15,1
R_CZwSxUPuv8a4BYl,during,amotivation,16,1
R_CZwSxUPuv8a4BYl,during,amotivation,17,1
R_CZwSxUPuv8a4BYl,during,amotivation,18,1
R_0HrndcL3lki2lZ7,before,instrinsic_motivation,1,4
R_0HrndcL3lki2lZ7,before,instrinsic_motivation,2,6
R_0HrndcL3lki2lZ7,before,instrinsic_motivation,3,4
R_0HrndcL3lki2lZ7,before,integrated_regulation,4,2
R_0HrndcL3lki2lZ7,before,integrated_regulation,5,2
R_0HrndcL3lki2lZ7,before,integrated_regulation,6,3
R_0HrndcL3lki2lZ7,before,identified_regulation,7,2
R_0HrndcL3lki2lZ7,before,identified_regulation,8,2
R_0HrndcL3lki2lZ7,before,identified_regulation,9,2
R_0HrndcL3lki2lZ7,before,introjected_regulation,10,1
R_0HrndcL3lki2lZ7,before,introjected_regulation,11,1
R_0HrndcL3lki2lZ7,before,introjected_regulation,12,1
R_0HrndcL3lki2lZ7,before,external_regulation,13,5
R_0HrndcL3lki2lZ7,before,external_regulation,14,3
R_0HrndcL3lki2lZ7,before,external_regulation,15,6
R_0HrndcL3lki2lZ7,before,amotivation,16,1
R_0HrndcL3lki2lZ7,before,amotivation,17,1
R_0HrndcL3lki2lZ7,before,amotivation,18,1
R_0HrndcL3lki2lZ7,during,instrinsic_motivation,1,6
R_0HrndcL3lki2lZ7,during,instrinsic_motivation,2,6
R_0HrndcL3lki2lZ7,during,instrinsic_motivation,3,5
R_0HrndcL3lki2lZ7,during,integrated_regulation,4,1
R_0HrndcL3lki2lZ7,during,integrated_regulation,5,2
R_0HrndcL3lki2lZ7,during,integrated_regulation,6,2
R_0HrndcL3lki2lZ7,during,identified_regulation,7,2
R_0HrndcL3lki2lZ7,during,identified_regulation,8,1
R_0HrndcL3lki2lZ7,during,identified_regulation,9,1
R_0HrndcL3lki2lZ7,during,introjected_regulation,10,1
R_0HrndcL3lki2lZ7,during,introjected_regulation,11,1
R_0HrndcL3lki2lZ7,during,introjected_regulation,12,1
R_0HrndcL3lki2lZ7,during,external_regulation,13,6
R_0HrndcL3lki2lZ7,during,external_regulation,14,5
R_0HrndcL3lki2lZ7,during,external_regulation,15,6
R_0HrndcL3lki2lZ7,during,amotivation,16,2
R_0HrndcL3lki2lZ7,during,amotivation,17,2
R_0HrndcL3lki2lZ7,during,amotivation,18,3
R_3rYAprW0GQ77H60,before,instrinsic_motivation,1,6
R_3rYAprW0GQ77H60,before,instrinsic_motivation,2,5
R_3rYAprW0GQ77H60,before,instrinsic_motivation,3,5
R_3rYAprW0GQ77H60,before,integrated_regulation,4,5
R_3rYAprW0GQ77H60,before,integrated_regulation,5,5
R_3rYAprW0GQ77H60,before,integrated_regulation,6,5
R_3rYAprW0GQ77H60,before,identified_regulation,7,4
R_3rYAprW0GQ77H60,before,identified_regulation,8,5
R_3rYAprW0GQ77H60,before,identified_regulation,9,5
R_3rYAprW0GQ77H60,before,introjected_regulation,10,5
R_3rYAprW0GQ77H60,before,introjected_regulation,11,4
R_3rYAprW0GQ77H60,before,introjected_regulation,12,5
R_3rYAprW0GQ77H60,before,external_regulation,13,5
R_3rYAprW0GQ77H60,before,external_regulation,14,5
R_3rYAprW0GQ77H60,before,external_regulation,15,5
R_3rYAprW0GQ77H60,before,amotivation,16,2
R_3rYAprW0GQ77H60,before,amotivation,17,3
R_3rYAprW0GQ77H60,before,amotivation,18,2
R_3rYAprW0GQ77H60,during,instrinsic_motivation,1,5
R_3rYAprW0GQ77H60,during,instrinsic_motivation,2,5
R_3rYAprW0GQ77H60,during,instrinsic_motivation,3,5
R_3rYAprW0GQ77H60,during,integrated_regulation,4,3
R_3rYAprW0GQ77H60,during,integrated_regulation,5,4
R_3rYAprW0GQ77H60,during,integrated_regulation,6,3
R_3rYAprW0GQ77H60,during,identified_regulation,7,2
R_3rYAprW0GQ77H60,during,identified_regulation,8,4
R_3rYAprW0GQ77H60,during,identified_regulation,9,5
R_3rYAprW0GQ77H60,during,introjected_regulation,10,3
R_3rYAprW0GQ77H60,during,introjected_regulation,11,1
R_3rYAprW0GQ77H60,during,introjected_regulation,12,1
R_3rYAprW0GQ77H60,during,external_regulation,13,4
R_3rYAprW0GQ77H60,during,external_regulation,14,5
R_3rYAprW0GQ77H60,during,external_regulation,15,5
R_3rYAprW0GQ77H60,during,amotivation,16,1
R_3rYAprW0GQ77H60,during,amotivation,17,1
R_3rYAprW0GQ77H60,during,amotivation,18,1
R_2PCnueh0z8dxONX,before,instrinsic_motivation,1,6
R_2PCnueh0z8dxONX,before,instrinsic_motivation,2,4
R_2PCnueh0z8dxONX,before,instrinsic_motivation,3,1
R_2PCnueh0z8dxONX,before,integrated_regulation,4,1
R_2PCnueh0z8dxONX,before,integrated_regulation,5,1
R_2PCnueh0z8dxONX,before,integrated_regulation,6,1
R_2PCnueh0z8dxONX,before,identified_regulation,7,2
R_2PCnueh0z8dxONX,before,identified_regulation,8,4
R_2PCnueh0z8dxONX,before,identified_regulation,9,4
R_2PCnueh0z8dxONX,before,introjected_regulation,10,1
R_2PCnueh0z8dxONX,before,introjected_regulation,11,1
R_2PCnueh0z8dxONX,before,introjected_regulation,12,1
R_2PCnueh0z8dxONX,before,external_regulation,13,1
R_2PCnueh0z8dxONX,before,external_regulation,14,2
R_2PCnueh0z8dxONX,before,external_regulation,15,3
R_2PCnueh0z8dxONX,before,amotivation,16,1
R_2PCnueh0z8dxONX,before,amotivation,17,1
R_2PCnueh0z8dxONX,before,amotivation,18,1
R_2PCnueh0z8dxONX,during,instrinsic_motivation,1,6
R_2PCnueh0z8dxONX,during,instrinsic_motivation,2,5
R_2PCnueh0z8dxONX,during,instrinsic_motivation,3,2
R_2PCnueh0z8dxONX,during,integrated_regulation,4,1
R_2PCnueh0z8dxONX,during,integrated_regulation,5,2
R_2PCnueh0z8dxONX,during,integrated_regulation,6,2
R_2PCnueh0z8dxONX,during,identified_regulation,7,4
